"	232",천안,2021-05-27,3.1,2.7,7:46
"	232",천안,2021-05-28,26,18.1,10:07
"	232",천안,2021-05-29,0,0,
"	232",천안,2021-05-30,4.4,2.8,20:11
"	232",천안,2021-05-31,3.5,2.3,0:01
"	232",천안,2021-06-01,,,
"	232",천안,2021-06-02,,,
"	232",천안,2021-06-03,18.7,4.9,14:33
"	232",천안,2021-06-04,0.1,0.1,
"	232",천안,2021-06-05,,,
"	232",천안,2021-06-06,0,0,
"	232",천안,2021-06-07,,,
"	232",천안,2021-06-08,,,
"	232",천안,2021-06-09,,,
"	232",천안,2021-06-10,2,1.3,22:32
"	232",천안,2021-06-11,8.2,5.6,0:01
"	232",천안,2021-06-12,,,
"	232",천안,2021-06-13,,,
"	232",천안,2021-06-14,,,
"	232",천안,2021-06-15,0,0,
"	232",천안,2021-06-16,,,
"	232",천안,2021-06-17,0,0,
"	232",천안,2021-06-18,1.9,0.8,0:21
"	232",천안,2021-06-19,,,
"	232",천안,2021-06-20,,,
"	232",천안,2021-06-21,,,
"	232",천안,2021-06-22,1.6,1.6,19:00
"	232",천안,2021-06-23,2,1.6,14:41
"	232",천안,2021-06-24,,,
"	232",천안,2021-06-25,,,
"	232",천안,2021-06-26,8.1,1.8,0:34
"	232",천안,2021-06-27,,,
"	232",천안,2021-06-28,2.2,1.9,18:51
"	232",천안,2021-06-29,0,0,
"	232",천안,2021-06-30,,,
"	232",천안,2021-07-01,,,
"	232",천안,2021-07-02,,,
"	232",천안,2021-07-03,27.5,5.9,21:46
"	232",천안,2021-07-04,5.5,3.1,0:01
"	232",천안,2021-07-05,0.8,0.8,22:38
"	232",천안,2021-07-06,5.9,3.9,23:01
"	232",천안,2021-07-07,43.4,21.3,1:52
"	232",천안,2021-07-08,31.3,17.9,21:09
"	232",천안,2021-07-09,0.3,0.3,3:38
"	232",천안,2021-07-10,0.2,0.2,
"	232",천안,2021-07-11,2.1,2.1,3:01
"	232",천안,2021-07-12,,,
"	232",천안,2021-07-13,,,
"	232",천안,2021-07-14,,,
"	232",천안,2021-07-15,,,
"	232",천안,2021-07-16,0.5,0.5,18:55
"	232",천안,2021-07-17,0.1,0.1,
"	232",천안,2021-07-18,0,0,
"	232",천안,2021-07-19,0,0,
"	232",천안,2021-07-20,,,
"	232",천안,2021-07-21,,,
"	232",천안,2021-07-22,,,
"	232",천안,2021-07-23,,,
"	232",천안,2021-07-24,,,
"	232",천안,2021-07-25,,,
"	232",천안,2021-07-26,,,
"	232",천안,2021-07-27,,,
"	232",천안,2021-07-28,,,
"	232",천안,2021-07-29,,,
"	232",천안,2021-07-30,,,
"	232",천안,2021-07-31,0,0,
"	232",천안,2021-08-01,18.2,15.4,19:09
