Model,MAE,RMSE,R2
LinearRegression,2299.0574459188792,6576.940968948077,0.1407141036610594
DecisionTree,2449.277945115901,6898.422767542081,0.05465700857217204
RandomForest,2214.2182858246983,6518.768324478554,0.1558475425906165
KNN,2282.6872586872587,6588.458123384137,0.13770200623445272
SVR,2632.7756971780373,7235.652101009441,-0.04002828444735962
XGBoost,2223.537016599795,6488.536513993737,0.16365916550706572
